Handle,Title,Vendor,SKU,Retail Price,Cost Per Item
belle-the-cow-teething-rattle,Belle the Cow - Teething Rattle,Apple Park & Organic Farm Buddies,TF013,16.0,10.4
bloomers-chambray,Bloomers - Chambray,Apple Park & Organic Farm Buddies,TMF06,22.0,14.3
blouse-chambray,Blouse - Chambray,Apple Park & Organic Farm Buddies,TMF02,30.0,19.5
boxer-dog-pacifier-buddy,Boxer Dog - Pacifier Buddy,Apple Park & Organic Farm Buddies,TF147,20.0,13.0
boxer-dog-plush,Boxer Dog - Plush,Apple Park & Organic Farm Buddies,TF002,24.0,15.6
boxer-the-dog-blankie,Boxer the Dog - Blankie,Apple Park & Organic Farm Buddies,TF018,20.0,13.0
boxer-the-dog-teething-rattle,Boxer the Dog - Teething Rattle,Apple Park & Organic Farm Buddies,TF010,16.0,10.4
candy-rattle,Candy Rattle,Apple Park & Organic Farm Buddies,TMF49,22.0,14.3
carrot-stroller-toy,Carrot Stroller Toy,Apple Park & Organic Farm Buddies,TMB88,22.5,14.63
chambray-long-sleeve-jumpsuit,Chambray Long-sleeve Jumpsuit,Apple Park & Organic Farm Buddies,TP1164,54.0,35.1
coco-hippo-blankie,Coco Hippo - Blankie,Apple Park & Organic Farm Buddies,TF273,20.0,13.0
coco-hippo-pacifier-buddy,Coco Hippo - Pacifier Buddy,Apple Park & Organic Farm Buddies,TF274,20.0,13.0
coco-hippo-plush,Coco Hippo - Plush,Apple Park & Organic Farm Buddies,TF271,24.0,15.6
coco-hippo-teething-rattle,Coco Hippo - Teething Rattle,Apple Park & Organic Farm Buddies,TF272,16.0,10.4
convertible-coverall-teething-rattle-set-blooming-saguaro,Convertible Coverall & Teething Rattle Set,Apple Park & Organic Farm Buddies,TP1987 & TP2214,68.0,44.2
convertible-coverall-teething-rattle-set-breezy-bay-stripe,Convertible Coverall & Teething Rattle Set,Apple Park & Organic Farm Buddies,TP1288 & TP2156,68.0,44.2
cupcake-the-unicorn-blankie,Cupcake the Unicorn - Blankie,Apple Park & Organic Farm Buddies,TF252,20.0,13.0
cupcake-the-unicorn-pacifier-buddy,Cupcake the Unicorn - Pacifier Buddy,Apple Park & Organic Farm Buddies,TF255,20.0,13.0
cupcake-the-unicorn-plush,Cupcake the Unicorn - Plush,Apple Park & Organic Farm Buddies,TF246,24.0,15.6
cupcake-the-unicorn-teething-rattle,Cupcake the Unicorn - Teething Rattle,Apple Park & Organic Farm Buddies,TF249,16.0,10.4
desert-canyon-baby-gift-bundle-bamboo-blend-blanket-horseshoe-toy,Desert Canyon Baby Gift Bundle – Bamboo Blend Blanket + Horseshoe Toy,Apple Park & Organic Farm Buddies,TP1974,58.0,37.7
doll-coverall-farmyard-friends,Doll Coverall,Apple Park & Organic Farm Buddies,TP1932,18.0,11.7
doll-coverall-sugar-rush,Doll Coverall,Apple Park & Organic Farm Buddies,TP1934,18.0,11.7
doll-coverall-wildflower-picnic,Doll Coverall,Apple Park & Organic Farm Buddies,TP1930,18.0,11.7
doll-coverall-zebra-print,Doll Coverall,Apple Park & Organic Farm Buddies,TP0743,15.0,9.75
doll-dress-summer-bounty,Doll Dress,Apple Park & Organic Farm Buddies,TP1928,18.0,11.7
doll-dress-feathered-friends,Doll Dress,Apple Park & Organic Farm Buddies,TP1927,18.0,11.7
doll-dress-earthtone-floral,Doll Dress,Apple Park & Organic Farm Buddies,TP0739,15.0,9.75
doll-dress-mini-mushroom,Doll Dress,Apple Park & Organic Farm Buddies,TP0742,15.0,9.75
doll-dress-pink-flower,Doll Dress,Apple Park & Organic Farm Buddies,TP0740,15.0,9.75
doll-pjs-squirrel-scurry,Doll PJs,Apple Park & Organic Farm Buddies,TP1981,18.0,11.7
doll-pjs-woodland-dreams,Doll PJs,Apple Park & Organic Farm Buddies,TP1982,18.0,11.7
doll-pjs-wild-at-heart,Doll PJs,Apple Park & Organic Farm Buddies,TP1983,18.0,11.7
doll-romper-gingham-grove,Doll Romper,Apple Park & Organic Farm Buddies,TP1929,18.0,11.7
doll-romper-rainbows-ice-cream,Doll Romper,Apple Park & Organic Farm Buddies,TP0741,15.0,9.75
doll-romper-safari-party,Doll Romper,Apple Park & Organic Farm Buddies,TP0744,15.0,9.75
donut-rattle,Donut Rattle,Apple Park & Organic Farm Buddies,TMF50,22.0,14.3
dress-with-puff-sleeves-blue,Dress with Puff Sleeves,Apple Park & Organic Farm Buddies,TP1696,46.0,29.9
dress-with-puff-sleeves-alligator-isle,Dress with Puff Sleeves,Apple Park & Organic Farm Buddies,TP1573,48.0,31.2
dress-with-puff-sleeves-whale-tales,Dress with Puff Sleeves,Apple Park & Organic Farm Buddies,TP1459,48.0,31.2
dress-with-puff-sleeves-zinnia-bloom,Dress with Puff Sleeves,Apple Park & Organic Farm Buddies,TP1523,48.0,31.2
dress-with-puff-sleeves-mustard,Dress with Puff Sleeves,Apple Park & Organic Farm Buddies,TP1607,46.0,29.9
dress-with-puff-sleeves-daisy-dreams,Dress with Puff Sleeves,Apple Park & Organic Farm Buddies,TP1491,48.0,31.2
dress-with-puff-sleeves-lavender,Dress with Puff Sleeves,Apple Park & Organic Farm Buddies,TP1739,46.0,29.9
dress-with-puff-sleeves-teal,Dress with Puff Sleeves,Apple Park & Organic Farm Buddies,TP1665,46.0,29.9
dress-with-puff-sleeves-terra-cotta,Dress with Puff Sleeves,Apple Park & Organic Farm Buddies,TP1638,46.0,29.9
duckys-pond-book-4,Ducky's Pond - Book 4,Apple Park & Organic Farm Buddies,TM444,15.0,9.75
first-baby-doll-mint,First Baby Doll,Apple Park & Organic Farm Buddies,TMG76,30.0,19.5
first-baby-doll-cream,First Baby Doll,Apple Park & Organic Farm Buddies,TM977,30.0,19.5
first-baby-doll-blue,First Baby Doll,Apple Park & Organic Farm Buddies,TM976,30.0,19.5
first-baby-doll-pink,First Baby Doll,Apple Park & Organic Farm Buddies,TM975,30.0,19.5
flutter-sleeve-romper-chambray,Flutter Sleeve Romper - Chambray,Apple Park & Organic Farm Buddies,TMF27,40.0,26.0
franny-flamingo-blankie,Franny Flamingo - Blankie,Apple Park & Organic Farm Buddies,TF269,20.0,13.0
franny-flamingo-pacifier-buddy,Franny Flamingo - Pacifier Buddy,Apple Park & Organic Farm Buddies,TF270,20.0,13.0
franny-flamingo-plush,Franny Flamingo - Plush,Apple Park & Organic Farm Buddies,TF267,24.0,15.6
franny-flamingo-teething-rattle,Franny Flamingo - Teething Rattle,Apple Park & Organic Farm Buddies,TF268,16.0,10.4
frenchy-fox-blankie,Frenchy Fox - Blankie,Apple Park & Organic Farm Buddies,TF095,20.0,13.0
frenchy-fox-pacifier-buddy,Frenchy Fox - Pacifier Buddy,Apple Park & Organic Farm Buddies,TF152,20.0,13.0
frenchy-fox-plush,Frenchy Fox - Plush,Apple Park & Organic Farm Buddies,TF091,24.0,15.6
frenchy-fox-teething-rattle,Frenchy Fox - Teething Rattle,Apple Park & Organic Farm Buddies,TF093,16.0,10.4
fuzzy-dice-soft-block-set,Fuzzy Dice Soft Block Set,Apple Park & Organic Farm Buddies,TMG69,30.0,19.5
george-giraffe-blankie,George Giraffe - Blankie,Apple Park & Organic Farm Buddies,TF207,20.0,13.0
george-giraffe-pacifier-buddy,George Giraffe - Pacifier Buddy,Apple Park & Organic Farm Buddies,TF219,20.0,13.0
george-giraffe-plush,George Giraffe - Plush,Apple Park & Organic Farm Buddies,TF201,24.0,15.6
george-giraffe-teething-rattle,George Giraffe - Teething Rattle,Apple Park & Organic Farm Buddies,TF204,16.0,10.4
georgia-giraffe-blankie,Georgia Giraffe - Blankie,Apple Park & Organic Farm Buddies,TF206,20.0,13.0
georgia-giraffe-pacifier-buddy,Georgia Giraffe - Pacifier Buddy,Apple Park & Organic Farm Buddies,TF218,20.0,13.0
georgia-giraffe-plush,Georgia Giraffe - Plush,Apple Park & Organic Farm Buddies,TF200,24.0,15.6
georgia-giraffe-teething-rattle,Georgia Giraffe - Teething Rattle,Apple Park & Organic Farm Buddies,TF203,16.0,10.4
horseshoe-stroller-toy-wild-horses,Horseshoe Stroller Toy,Apple Park & Organic Farm Buddies,TP1015,19.0,12.35
horseshoe-stroller-toy-canyon,Horseshoe Stroller Toy,Apple Park & Organic Farm Buddies,TP1014,19.0,12.35
ice-cream-rattle,Ice Cream Rattle,Apple Park & Organic Farm Buddies,TMF47,22.0,14.3
jellyfish-stroller-toy-blue,Jellyfish Stroller Toy – Blue,Apple Park & Organic Farm Buddies,TMB76,22.5,14.63
jojo-hippo-blankie,JoJo Hippo - Blankie,Apple Park & Organic Farm Buddies,TF277,20.0,13.0
jojo-hippo-pacifier-buddy,JoJo Hippo - Pacifier Buddy,Apple Park & Organic Farm Buddies,TF278,20.0,13.0
jojo-hippo-plush,JoJo Hippo - Plush,Apple Park & Organic Farm Buddies,TF275,24.0,15.6
jojo-hippo-teething-rattle,JoJo Hippo - Teething Rattle,Apple Park & Organic Farm Buddies,TF276,16.0,10.4
